22:50:30.440570000,(36379)
22:50:30.614372000,(36449)
22:50:30.820663000,(36634)
22:50:30.915712000,(36685)
22:50:31.022842000,(36733)
22:50:31.117764000,(36769)
22:50:31.221820000,(36842)
22:50:31.421929000,(36926)
22:50:31.516755000,(36930)
22:50:31.621786000,(37009)
22:50:31.716606000,(37054)
22:50:31.822893000,(37110)
22:50:31.917285000,(37134)
22:50:32.121705000,(37329)
22:50:32.217745000,(37364)
22:50:32.321822000,(37454)
22:50:32.416749000,(37467)
22:50:32.522399000,(37483)
22:50:32.721522000,(37683)
22:50:32.817058000,(37748)
22:50:32.921785000,(37756)
22:50:33.016573000,(37805)
22:50:33.121871000,(37818)
22:50:33.216742000,(37887)
22:50:33.422774000,(37900)
22:50:33.517670000,(37923)
22:50:33.622425000,(37929)
22:50:33.717349000,(37946)
22:50:33.821608000,(38004)
22:50:33.916802000,(38014)
22:50:34.122751000,(38160)
22:50:34.216765000,(38225)
22:50:34.322181000,(38311)
22:50:34.418003000,(38359)
22:50:34.521759000,(38420)
22:50:34.721735000,(38459)
22:50:34.816881000,(38492)
22:50:34.922380000,(38577)
22:50:35.016839000,(38644)
22:50:35.123086000,(38717)
22:50:35.217837000,(38736)
22:50:35.421818000,(38870)
22:50:35.516753000,(38945)
22:50:35.621652000,(38980)
22:50:35.716705000,(38999)
22:50:35.822649000,(39004)
22:50:35.917611000,(39061)
22:50:36.121683000,(39181)
22:50:36.217509000,(39216)
22:50:36.321668000,(39306)
22:50:36.416808000,(39323)
22:50:36.522278000,(39335)
22:50:36.722016000,(39409)
22:50:36.817771000,(39436)
22:50:36.921677000,(39490)
22:50:37.017187000,(39505)
22:50:37.121690000,(39544)
22:50:37.216622000,(39549)
22:50:37.422576000,(39624)
22:50:37.517540000,(39661)
22:50:37.622310000,(39662)
22:50:37.717084000,(39763)
22:50:37.821522000,(39773)
22:50:38.021676000,(39778)
22:50:38.116763000,(39860)
22:50:38.222617000,(39865)
22:50:38.317512000,(39921)
22:50:38.422157000,(39999)
22:50:38.518155000,(40028)
22:50:38.721573000,(40128)
22:50:38.816556000,(40227)
22:50:38.922176000,(40243)
22:50:39.016554000,(40334)
22:50:39.122978000,(40373)
22:50:39.217750000,(40375)
22:50:39.421641000,(40388)
22:50:39.516722000,(40466)
22:50:39.621663000,(40491)
22:50:39.716690000,(40581)
22:50:39.821527000,(40645)
22:50:40.022180000,(40678)
22:50:40.116693000,(40700)
22:50:40.221592000,(40743)
22:50:40.316628000,(40839)
22:50:40.421589000,(40847)
22:50:40.516715000,(40873)
22:50:40.721901000,(40979)
22:50:40.817707000,(41067)
22:50:40.921686000,(41069)
22:50:41.017282000,(41085)
22:50:41.121621000,(41132)
22:50:41.216656000,(41219)
22:50:41.422548000,(41314)
22:50:41.517393000,(41389)
22:50:41.622156000,(41474)
22:50:41.716979000,(41566)
22:50:41.821410000,(41604)
22:50:42.021577000,(41641)
22:50:42.116758000,(41671)
22:50:42.222484000,(41728)
22:50:42.316857000,(41781)
22:50:42.422123000,(41836)
22:50:42.518010000,(41932)
22:50:42.721627000,(42131)
22:50:42.816583000,(42140)
22:50:42.922146000,(42141)
22:50:43.018057000,(42188)
22:50:43.122899000,(42222)
22:50:43.321571000,(42247)
22:50:43.417311000,(42252)
22:50:43.521627000,(42334)
22:50:43.616654000,(42336)
22:50:43.722093000,(42398)
22:50:43.816423000,(42399)
22:50:44.022087000,(42435)
22:50:44.117988000,(42499)
22:50:44.221717000,(42539)
22:50:44.316639000,(42600)
22:50:44.421573000,(42630)
22:50:44.516653000,(42659)
22:50:44.721876000,(42836)
22:50:44.817650000,(42908)
22:50:44.921696000,(42939)
22:50:45.017225000,(42943)
22:50:45.121576000,(42973)
22:50:45.322087000,(43167)
22:50:45.418007000,(43184)
22:50:45.522783000,(43275)
